id_stacji	stacja	data_pomiaru	godzina_pomiaru	temperatura	predkosc_wiatru	kierunek_wiatru	wilgotnosc_wzgledna	suma_opadu	cisnienie	CO	NO2	PM10	PM2.5	C6H6	NO2	O3	PM10	SO2	C6H6	C6H6	CO	NO2	PM10	PM2.5	SO2	
12566	Kraków	2022-01-26	13	1.7	5	230	95.8	1.1	1026	802.6600000000001	47.2227	51.7863	36.9947	1.40941	32.3882	16.5301	32.1885	9.32256	0.2268	0.71189	738.53	31.727	35.6548	28.58	6.80603	
12566	Kraków	2022-01-26	14	1.6	3	210	95.8	1.1	1025.8	786.6600000000001	51.9756	52.475	37.2797	1.25171	32.4599	16.2534	35.3506	7.48568	0.10971	0.8448	811.8100000000001	32.7356	33.9252	27.852	7.23829	
12566	Kraków	2022-01-26	15	1.3	4	220	95.7	1.1	1025.8	878.37	55.0194	53.966	39.2547	1.53834	37.386	14.0704	30.6017	7.96301	0.22158	0.91753	816.2199999999999	34.6481	35.2053	27.2196	6.72587	
12566	Kraków	2022-01-26	16	1	3	210	97.1	1.1	1026	928.0500000000001	58.3623	45.209	36.2469	1.87818	39.3766	12.9477	28.5567	7.448	0.37233	1.00595	817.4599999999999	39.3585	33.72	27.8487	7.13439	
12566	Kraków	2022-01-26	17	0.9	4	210	97.1	1.1	1026	886.51	52.0483	40.5537	32.8431	1.80134	36.8182	13.4793	31.9163	6.02786	0.24849	1.10162	817.57	37.9038	28.6895	24.6148	6.07312	
12566	Kraków	2022-01-26	18	0.8	4	210	97.1	1.1	1025.6	921.3	50.7111	40.2673	32.5692	1.70671	33.4308	14.7867	24.8423	8.59476	0.36054	1.0743	827.23	34.5929	28.0126	24.2515	7.8953	
12566	Kraków	2022-01-26	19	1.4	7	250	95.1	1.1	1025.6	857.25	49.4241	36.9797	30.1594	1.65675	30.5681	16.5055	24.9459	8.14921	0.23238	1.14589	811.8199999999999	32.4196	27.7309	23.7384	8.17179	
12566	Kraków	2022-01-26	20	1.4	6	240	91.7	1.1	1025.2	623.01	33.0601	24.5593	20.0822	0.93693	26.1443	19.5141	30.6251	7.73247	0.41364	0.87509	720.5899999999999	25.7966	25.1924	20.7155	8.15949	
12566	Kraków	2022-01-26	21	1.3	5	240	91.6	1.1	1025.3	587.29	28.5679	23.787	19.4039	0.59977	25.5751	19.2958	25.0455	7.77754	0.28332	0.56233	677.8199999999999	22.3396	19.2075	15.6005	7.95998	
12566	Kraków	2022-01-26	22	1.3	5	240	93.0	1.1	1025.1	736.18	32.0069	40.1083	32.7364	0.65263	22.1679	18.4796	31.1475	7.98739	0.396	0.61346	696.01	22.748	21.3849	17.0093	8.87902	
